601 121 1
0 0 -250 	 0 0 -0.524
0 0 -249 	 0 0 -0.52925
0 0 -248 	 0 0 -0.5345
0 0 -247 	 0 0 -0.540171
0 0 -246 	 0 0 -0.5452
0 0 -245 	 0 0 -0.5507
0 0 -244 	 0 0 -0.5562
0 0 -243 	 0 0 -0.562083
0 0 -242 	 0 0 -0.5673
0 0 -241 	 0 0 -0.573342
0 0 -240 	 0 0 -0.5787
0 0 -239 	 0 0 -0.58445
0 0 -238 	 0 0 -0.5902
0 0 -237 	 0 0 -0.596348
0 0 -236 	 0 0 -0.6018
0 0 -235 	 0 0 -0.60765
0 0 -234 	 0 0 -0.6135
0 0 -233 	 0 0 -0.61986
0 0 -232 	 0 0 -0.6255
0 0 -231 	 0 0 -0.631966
0 0 -230 	 0 0 -0.6377
0 0 -229 	 0 0 -0.64385
0 0 -228 	 0 0 -0.65
0 0 -227 	 0 0 -0.65615
0 0 -226 	 0 0 -0.6623
0 0 -225 	 0 0 -0.66865
0 0 -224 	 0 0 -0.675
0 0 -223 	 0 0 -0.68135
0 0 -222 	 0 0 -0.6877
0 0 -221 	 0 0 -0.694484
0 0 -220 	 0 0 -0.7005
0 0 -219 	 0 0 -0.707
0 0 -218 	 0 0 -0.7135
0 0 -217 	 0 0 -0.7201
0 0 -216 	 0 0 -0.7267
0 0 -215 	 0 0 -0.73335
0 0 -214 	 0 0 -0.74
0 0 -213 	 0 0 -0.74675
0 0 -212 	 0 0 -0.7535
0 0 -211 	 0 0 -0.760708
0 0 -210 	 0 0 -0.7671
0 0 -209 	 0 0 -0.7739
0 0 -208 	 0 0 -0.7807
0 0 -207 	 0 0 -0.787908
0 0 -206 	 0 0 -0.7943
0 0 -205 	 0 0 -0.801667
0 0 -204 	 0 0 -0.8082
0 0 -203 	 0 0 -0.8152
0 0 -202 	 0 0 -0.8222
0 0 -201 	 0 0 -0.8292
0 0 -200 	 0 0 -0.8362
0 0 -199 	 0 0 -0.84325
0 0 -198 	 0 0 -0.8503
0 0 -197 	 0 0 -0.857826
0 0 -196 	 0 0 -0.8645
0 0 -195 	 0 0 -0.872079
0 0 -194 	 0 0 -0.8788
0 0 -193 	 0 0 -0.88595
0 0 -192 	 0 0 -0.8931
0 0 -191 	 0 0 -0.90025
0 0 -190 	 0 0 -0.9074
0 0 -189 	 0 0 -0.9146
0 0 -188 	 0 0 -0.9218
0 0 -187 	 0 0 -0.92905
0 0 -186 	 0 0 -0.9363
0 0 -185 	 0 0 -0.943932
0 0 -184 	 0 0 -0.9507
0 0 -183 	 0 0 -0.95795
0 0 -182 	 0 0 -0.9652
0 0 -181 	 0 0 -0.972885
0 0 -180 	 0 0 -0.9797
0 0 -179 	 0 0 -0.98695
0 0 -178 	 0 0 -0.9942
