601 121 1
0 0 -250 	 0 0 -0.624
0 0 -249 	 0 0 -0.63025
0 0 -248 	 0 0 -0.6365
0 0 -247 	 0 0 -0.643231
0 0 -246 	 0 0 -0.6492
0 0 -245 	 0 0 -0.6557
0 0 -244 	 0 0 -0.6622
0 0 -243 	 0 0 -0.669249
0 0 -242 	 0 0 -0.6755
0 0 -241 	 0 0 -0.682655
0 0 -240 	 0 0 -0.689
0 0 -239 	 0 0 -0.6959
0 0 -238 	 0 0 -0.7028
0 0 -237 	 0 0 -0.710114
0 0 -236 	 0 0 -0.7166
0 0 -235 	 0 0 -0.7235
0 0 -234 	 0 0 -0.7304
0 0 -233 	 0 0 -0.737979
0 0 -232 	 0 0 -0.7447
0 0 -231 	 0 0 -0.752438
0 0 -230 	 0 0 -0.7593
0 0 -229 	 0 0 -0.7666
0 0 -228 	 0 0 -0.7739
0 0 -227 	 0 0 -0.7812
0 0 -226 	 0 0 -0.7885
0 0 -225 	 0 0 -0.7961
0 0 -224 	 0 0 -0.8037
0 0 -223 	 0 0 -0.8113
0 0 -222 	 0 0 -0.8189
0 0 -221 	 0 0 -0.826903
0 0 -220 	 0 0 -0.834
0 0 -219 	 0 0 -0.84175
0 0 -218 	 0 0 -0.8495
0 0 -217 	 0 0 -0.8574
0 0 -216 	 0 0 -0.8653
0 0 -215 	 0 0 -0.8732
0 0 -214 	 0 0 -0.8811
0 0 -213 	 0 0 -0.8891
0 0 -212 	 0 0 -0.8971
0 0 -211 	 0 0 -0.905686
0 0 -210 	 0 0 -0.9133
0 0 -209 	 0 0 -0.9214
0 0 -208 	 0 0 -0.9295
0 0 -207 	 0 0 -0.938086
0 0 -206 	 0 0 -0.9457
0 0 -205 	 0 0 -0.954498
0 0 -204 	 0 0 -0.9623
0 0 -203 	 0 0 -0.9706
0 0 -202 	 0 0 -0.9789
0 0 -201 	 0 0 -0.98725
0 0 -200 	 0 0 -0.9956
0 0 -199 	 0 0 -1.00395
0 0 -198 	 0 0 -1.0123
0 0 -197 	 0 0 -1.02131
0 0 -196 	 0 0 -1.0293
0 0 -195 	 0 0 -1.03826
0 0 -194 	 0 0 -1.0462
0 0 -193 	 0 0 -1.0547
0 0 -192 	 0 0 -1.0632
0 0 -191 	 0 0 -1.07175
0 0 -190 	 0 0 -1.0803
0 0 -189 	 0 0 -1.0889
0 0 -188 	 0 0 -1.0975
0 0 -187 	 0 0 -1.1061
0 0 -186 	 0 0 -1.1147
0 0 -185 	 0 0 -1.12376
0 0 -184 	 0 0 -1.1318
0 0 -183 	 0 0 -1.14045
0 0 -182 	 0 0 -1.1491
0 0 -181 	 0 0 -1.15822
0 0 -180 	 0 0 -1.1663
0 0 -179 	 0 0 -1.17495
0 0 -178 	 0 0 -1.1836
0 0 -177 	 0 0 -1.1922
0 0 -176 	 0 0 -1.2008
0 0 -175 	 0 0 -1.20945
0 0 -174 	 0 0 -1.2181
0 0 -173 	 0 0 -1.2267
0 0 -172 	 0 0 -1.2353
0 0 -171 	 0 0 -1.2439
